"president","start_date","end_date","approving","disapproving","unsure_nodata"
"Joe Biden",2024-09-03,2024-09-15,39,58,3
"Joe Biden",2024-08-01,2024-08-20,43,53,4
"Joe Biden",2024-07-01,2024-07-21,36,58,6
"Joe Biden",2024-06-03,2024-06-23,38,58,4
"Joe Biden",2024-05-01,2024-05-23,39,56,5
"Joe Biden",2024-04-01,2024-04-22,38,58,4
"Joe Biden",2024-03-01,2024-03-20,40,55,5
"Joe Biden",2024-02-01,2024-02-20,38,59,3
"Joe Biden",2024-01-02,2024-01-22,41,54,5
"Joe Biden",2023-12-01,2023-12-20,39,59,2
"Joe Biden",2023-11-01,2023-11-20,37,59,4
"Joe Biden",2023-10-02,2023-10-23,37,59,4
"Joe Biden",2023-09-01,2023-09-23,41,58,1
"Joe Biden",2023-08-01,2023-08-23,42,53,5
"Joe Biden",2023-07-03,2023-07-27,40,55,4
"Joe Biden",2023-06-01,2023-06-22,43,54,3
"Joe Biden",2023-05-01,2023-05-24,39,57,5
"Joe Biden",2023-04-03,2023-04-25,37,59,4
"Joe Biden",2023-03-01,2023-03-23,40,56,4
"Joe Biden",2023-02-01,2023-02-23,42,54,5
"Joe Biden",2023-01-02,2023-01-22,41,54,4
"Joe Biden",2022-11-09,2022-12-02,40,55,5
"Joe Biden",2022-10-03,2022-10-20,40,56,4
"Joe Biden",2022-09-01,2022-09-16,42,56,2
"Joe Biden",2022-08-01,2022-08-23,44,53,3
"Joe Biden",2022-07-05,2022-07-26,38,59,3
"Joe Biden",2022-06-01,2022-06-20,41,57,3
"Joe Biden",2022-05-02,2022-05-22,41,54,5
"Joe Biden",2022-04-01,2022-04-19,41,56,3
"Joe Biden",2022-03-01,2022-03-18,42,54,4
"Joe Biden",2022-02-01,2022-02-17,41,55,4
"Joe Biden",2022-01-03,2022-01-16,40,56,4
"Joe Biden",2021-12-12,2021-12-16,43,51,6
"Joe Biden",2021-11-01,2021-11-16,42,55,3
"Joe Biden",2021-10-01,2021-10-19,42,52,6
"Joe Biden",2021-09-01,2021-09-17,43,55,2
"Joe Biden",2021-08-02,2021-08-17,49,48,3
"Joe Biden",2021-07-06,2021-07-21,50,45,5
"Joe Biden",2021-06-01,2021-06-18,56,42,2
"Joe Biden",2021-05-03,2021-05-18,54,40,6
"Joe Biden",2021-04-01,2021-04-21,57,40,3
"Joe Biden",2021-03-01,2021-03-15,54,42,4
"Joe Biden",2021-02-03,2021-02-18,56,40,4
"Joe Biden",2021-01-21,2021-02-02,57,37,6
"Donald Trump",2021-01-04,2021-01-15,34,62,4
"Donald Trump",2020-12-01,2020-12-17,39,57,4
"Donald Trump",2020-11-05,2020-11-19,43,55,2
"Donald Trump",2020-10-16,2020-10-27,46,52,2
"Donald Trump",2020-09-30,2020-10-15,43,55,2
"Donald Trump",2020-09-14,2020-09-28,46,52,2
"Donald Trump",2020-08-31,2020-09-13,42,56,2
"Donald Trump",2020-07-30,2020-08-12,42,55,3
"Donald Trump",2020-07-01,2020-07-23,41,56,3
"Donald Trump",2020-06-08,2020-06-30,38,57,5
"Donald Trump",2020-05-28,2020-06-04,39,57,4
"Donald Trump",2020-05-01,2020-05-13,49,48,3
"Donald Trump",2020-04-14,2020-04-28,49,47,4
"Donald Trump",2020-04-01,2020-04-14,43,54,3
"Donald Trump",2020-03-13,2020-03-22,49,45,6
"Donald Trump",2020-03-02,2020-03-13,44,52,4
"Donald Trump",2020-02-17,2020-02-28,47,51,2
"Donald Trump",2020-02-03,2020-02-16,49,48,3
"Donald Trump",2020-01-16,2020-01-29,49,50,1
"Donald Trump",2020-01-02,2020-01-15,44,53,3
"Donald Trump",2019-12-02,2019-12-15,45,51,4
"Donald Trump",2019-11-01,2019-11-14,43,54,3
"Donald Trump",2019-10-14,2019-10-31,41,57,2
"Donald Trump",2019-10-01,2019-10-13,39,57,4
"Donald Trump",2019-09-16,2019-09-30,40,56,4
"Donald Trump",2019-09-03,2019-09-15,43,54,3
"Donald Trump",2019-08-15,2019-08-30,39,57,4
"Donald Trump",2019-08-01,2019-08-14,41,54,5
"Donald Trump",2019-07-15,2019-07-31,42,54,4
"Donald Trump",2019-07-01,2019-07-12,44,51,5
"Donald Trump",2019-06-19,2019-06-30,41,54,5
"Donald Trump",2019-06-03,2019-06-16,43,55,2
"Donald Trump",2019-05-15,2019-05-30,40,55,5
"Donald Trump",2019-05-01,2019-05-12,42,52,6
"Donald Trump",2019-04-17,2019-04-30,46,50,4
"Donald Trump",2019-04-01,2019-04-09,45,51,4
"Donald Trump",2019-03-01,2019-03-10,39,57,4
"Donald Trump",2019-02-12,2019-02-28,43,54,3
"Donald Trump",2019-02-01,2019-02-10,44,52,4
"Donald Trump",2019-01-21,2019-01-27,37,59,4
"Donald Trump",2019-01-02,2019-01-10,37,59,4
"Donald Trump",2018-12-17,2018-12-22,39,55,6
"Donald Trump",2018-12-10,2018-12-16,38,57,5
"Donald Trump",2018-12-03,2018-12-09,40,56,4
"Donald Trump",2018-11-26,2018-12-02,40,56,4
"Donald Trump",2018-11-19,2018-11-25,38,60,2
"Donald Trump",2018-11-12,2018-11-18,43,53,4
"Donald Trump",2018-11-05,2018-11-11,38,56,6
"Donald Trump",2018-10-29,2018-11-04,40,54,6
"Donald Trump",2018-10-22,2018-10-28,40,54,6
"Donald Trump",2018-10-15,2018-10-21,44,50,6
"Donald Trump",2018-10-08,2018-10-14,44,51,5
"Donald Trump",2018-10-01,2018-10-07,43,53,4
"Donald Trump",2018-09-24,2018-09-30,42,53,5
"Donald Trump",2018-09-17,2018-09-23,40,56,4
"Donald Trump",2018-09-10,2018-09-16,38,56,6
"Donald Trump",2018-09-03,2018-09-09,40,54,6
"Donald Trump",2018-08-27,2018-09-02,41,53,6
"Donald Trump",2018-08-20,2018-08-26,41,54,5
"Donald Trump",2018-08-13,2018-08-19,42,52,6
"Donald Trump",2018-08-06,2018-08-12,39,56,5
"Donald Trump",2018-07-30,2018-08-05,41,54,5
"Donald Trump",2018-07-23,2018-07-29,40,55,5
"Donald Trump",2018-07-16,2018-07-22,42,54,4
"Donald Trump",2018-07-09,2018-07-15,43,52,5
"Donald Trump",2018-07-02,2018-07-08,41,56,3
"Donald Trump",2018-06-25,2018-07-01,42,53,5
"Donald Trump",2018-06-18,2018-06-24,41,55,4
"Donald Trump",2018-06-11,2018-06-17,45,50,5
"Donald Trump",2018-06-04,2018-06-10,42,54,4
"Donald Trump",2018-05-28,2018-06-03,41,55,4
"Donald Trump",2018-05-21,2018-05-27,40,55,5
"Donald Trump",2018-05-14,2018-05-20,42,54,4
"Donald Trump",2018-05-07,2018-05-13,43,52,5
"Donald Trump",2018-04-30,2018-05-06,42,52,6
"Donald Trump",2018-04-23,2018-04-29,42,53,5
"Donald Trump",2018-04-16,2018-04-22,39,55,6
"Donald Trump",2018-04-09,2018-04-15,39,55,6
"Donald Trump",2018-04-02,2018-04-08,41,54,5
"Donald Trump",2018-03-26,2018-04-01,39,56,5
"Donald Trump",2018-03-19,2018-03-25,39,55,6
"Donald Trump",2018-03-12,2018-03-18,40,56,4
"Donald Trump",2018-03-05,2018-03-11,39,56,5
"Donald Trump",2018-02-26,2018-03-04,39,55,6
"Donald Trump",2018-02-19,2018-02-25,39,56,5
"Donald Trump",2018-02-12,2018-02-18,37,59,4
"Donald Trump",2018-02-05,2018-02-11,40,57,3
"Donald Trump",2018-01-29,2018-02-04,40,57,3
"Donald Trump",2018-01-21,2018-01-28,38,58,4
"Donald Trump",2018-01-15,2018-01-21,36,59,5
"Donald Trump",2018-01-08,2018-01-14,38,57,5
"Donald Trump",2018-01-01,2018-01-07,37,58,5
"Donald Trump",2017-12-25,2017-12-31,39,55,6
